country,total_confirmed_cases,parents,Alpha-3 code
Gambia,47,Confirmed,GMB
Grenada,41,Confirmed,GRD
Namibia,41,Confirmed,NAM
Saint Vincent and the Grenadines,41,Confirmed,VCT
Laos,37,Confirmed,NA
Saint Lucia,37,Confirmed,LCA
Belize,36,Confirmed,BLZ
Fiji,36,Confirmed,FJI
Dominica,34,Confirmed,DMA
Saint Kitts and Nevis,30,Confirmed,KNA
Seychelles,22,Confirmed,SYC
Papua New Guinea,16,Confirmed,PNG
Western Sahara,16,Confirmed,ESH
Holy See,14,Confirmed,NA
MS Zaandam,11,Confirmed,NA
Lesotho,6,Confirmed,LSO
